day,month,year,class_name,location,time_of_day,duration
13,January,2025,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
13,January,2025,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
11,January,2025,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
8,January,2025,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
8,January,2025,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
7,January,2025,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,60
6,January,2025,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
6,January,2025,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
21,December,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
18,December,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
18,December,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
16,December,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
16,December,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
14,December,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
11,December,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
11,December,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
9,December,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
9,December,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
7,December,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
6,December,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:00pm,45
5,December,2024,Striking and Clinching,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,60
4,December,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",8:00pm,30
4,December,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,60
4,December,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
4,December,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
2,December,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
25,November,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
25,November,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
23,November,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
20,November,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
20,November,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
18,November,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
18,November,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
15,November,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:00pm,45
13,November,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
13,November,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
11,November,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
11,November,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
9,November,2024,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,60
6,November,2024,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,30
6,November,2024,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,60
