day,month_year,category,class_name,location,time_of_day,duration
13,"January, 2025",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,(30 min)
13,"January, 2025",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
11,"January, 2025",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,(60 min)
08,"January, 2025",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,(30 min)
08,"January, 2025",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
07,"January, 2025",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,(60 min)
06,"January, 2025",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,(30 min)
06,"January, 2025",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
21,"December, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,(60 min)
18,"December, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,(30 min)
18,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
16,"December, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,(30 min)
16,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
14,"December, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,(60 min)
11,"December, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,(30 min)
11,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
09,"December, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,(30 min)
09,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
07,"December, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,(60 min)
06,"December, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:00pm,(45 min)
05,"December, 2024",Martial arts,Striking and Clinching,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,(60 min)
04,"December, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",8:00pm,(30 min)
04,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",7:00pm,(60 min)
04,"December, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,(30 min)
04,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
02,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
25,"November, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,(30 min)
25,"November, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
23,"November, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,(60 min)
20,"November, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,(30 min)
20,"November, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
18,"November, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,(30 min)
18,"November, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
15,"November, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:00pm,(45 min)
13,"November, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,(30 min)
13,"November, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
11,"November, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",12:30pm,(30 min)
11,"November, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:30am,(60 min)
09,"November, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",11:00am,(60 min)
